,OrderID,Timestamp,Market,OrderQty,OrdType,Price,LeavesQty,CumQty,CumAmt,CumFee,AvgPx,MarketStatus,Symbol,Side,Currency,AmountCurrency,AvgPxAllIn,LegSummaryIndex,OrdStatus,LegIndex,MarketAccount
30,86453a1d-c71d-4ee6-9bca-5cc72222366a,2024-08-16T02:32:30.086584Z,wintermute,0.08676908,Limit,0,0,0.08676908,5000.43,0,57629.03549005,Online,BTC-USD,Buy,BTC,USD,57629.03549005,1,Filled,0.0,wintermute/wintermute-trading-rfq
31,86453a1d-c71d-4ee6-9bca-5cc72222366a,2024-08-16T02:32:30.086584Z,galaxy,0.08676908,Limit,0,0,0.08676908,5007.12672062,0,57706.34793660,Online,BTC-USD,Sell,BTC,USD,57706.34793660,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
32,4e6f4ff3-869a-4a36-b049-3c30ef4809f1,2024-08-15T21:37:47.590843Z,wintermute,0.08751063,Limit,0,0,0.08751063,5001.33,0,57151.14000000,Online,BTC-USD,Sell,BTC,USD,57151.14000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
33,4e6f4ff3-869a-4a36-b049-3c30ef4809f1,2024-08-15T21:37:47.590843Z,galaxy,0.08751063,Limit,0,0,0.08751063,4996.17043771,0,57092.15483546,Online,BTC-USD,Buy,BTC,USD,57092.15483546,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
34,58862d86-5c1e-4e60-9980-4554706c9767,2024-08-15T20:55:29.088441Z,wintermute,0.03536960,Limit,0,0,0.03536960,1999.91,0,56543.08000000,Online,BTC-USD,Buy,BTC,USD,56543.08000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
35,58862d86-5c1e-4e60-9980-4554706c9767,2024-08-15T20:55:29.088441Z,galaxy,0.03536960,Limit,0,0,0.03536960,2001.41180624,0,56585.65000000,Online,BTC-USD,Sell,BTC,USD,56585.65000000,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
36,dd65cde6-c89d-43c2-a2e8-ed5e30e344ba,2024-08-15T20:25:29.563748Z,wintermute,0.03520333,Limit,0,0,0.03520333,2000.01,0,56812.82000000,Online,BTC-USD,Buy,BTC,USD,56812.82000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
37,dd65cde6-c89d-43c2-a2e8-ed5e30e344ba,2024-08-15T20:25:29.563748Z,galaxy,0.03520333,Limit,0,0,0.03520333,2001.37971716,0,56852.00000000,Online,BTC-USD,Sell,BTC,USD,56852.00000000,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
38,cc6e9b78-df5d-46f6-8924-61d95599818b,2024-08-15T21:20:41.560757Z,wintermute,0.03516003,Limit,0,0,0.03516003,2000.06,0,56884.66000000,Online,BTC-USD,Sell,BTC,USD,56884.66000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
39,cc6e9b78-df5d-46f6-8924-61d95599818b,2024-08-15T21:20:41.560757Z,galaxy,0.03516003,Limit,0,0,0.03516003,1998.70249458,0,56845.87000000,Online,BTC-USD,Buy,BTC,USD,56845.87000000,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
40,b0e349f6-d48f-4d5c-a3cc-cdd1a4093500,2024-08-15T19:33:58.246145Z,wintermute,0.03506305,Limit,0,0,0.03506305,2000.03,0,57040.98000000,Online,BTC-USD,Sell,BTC,USD,57040.98000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
41,b0e349f6-d48f-4d5c-a3cc-cdd1a4093500,2024-08-15T19:33:58.246145Z,galaxy,0.03506305,Limit,0,0,0.03506305,1999.59314693,0,57028.50000000,Online,BTC-USD,Buy,BTC,USD,57028.50000000,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
42,2ccb48d4-a243-43e5-a7f1-a3448072286e,2024-08-15T19:19:06.699356Z,galaxy,0.03489524,Limit,0,0,0.03489524,2000.00393088,0,57314.52000000,Online,BTC-USD,Buy,BTC,USD,57314.52000000,1,Filled,0.0,galaxy/galaxy-trading-rfq-a-1
43,2ccb48d4-a243-43e5-a7f1-a3448072286e,2024-08-15T19:19:06.699356Z,wintermute,0.03491314,Limit,0,0,0.03491314,2001.26,0,57321.20000000,Online,BTC-USD,Sell,BTC,USD,57321.20000000,2,Filled,1.0,wintermute/wintermute-trading-rfq
44,541bb447-e698-463b-b1b5-e1682b954a56,2024-08-15T00:00:17.307134Z,galaxy,0.01700979,Limit,0,0,0.01700979,999.91046937,0,58784.41000000,Online,BTC-USD,Buy,BTC,USD,58784.41000000,1,Filled,0.0,galaxy/galaxy-trading-rfq-a-1
45,541bb447-e698-463b-b1b5-e1682b954a56,2024-08-15T00:00:17.307134Z,wintermute,0.01702936,Limit,0,0,0.01702936,1001.02,0,58782.29000000,Online,BTC-USD,Sell,BTC,USD,58782.29000000,2,Filled,1.0,wintermute/wintermute-trading-rfq
46,0244a577-769b-40a5-bacb-8b1b73be9c1f,2024-08-14T22:03:46.580592Z,wintermute,0.01710160,Limit,0,0,0.01710160,999.99,0,58472.93000000,Online,BTC-USD,Buy,BTC,USD,58472.93000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
47,0244a577-769b-40a5-bacb-8b1b73be9c1f,2024-08-14T22:03:46.580592Z,galaxy,0.01710160,Limit,0,0,0.01710160,999.82229887,0,58463.67000000,Online,BTC-USD,Sell,BTC,USD,58463.67000000,2,Filled,1.0,galaxy/galaxy-trading-rfq-a-1
48,2cd77f64-a20a-4832-9143-13107be8a78f,2024-08-14T21:34:57.727128Z,galaxy,0.00169552,Limit,0,0,0.00169552,99.9634678,0,58957.41000000,Online,BTC-USD,Buy,BTC,USD,58957.41000000,1,Filled,0.0,galaxy/galaxy-trading-rfq-a-1
49,2cd77f64-a20a-4832-9143-13107be8a78f,2024-08-14T21:34:57.727128Z,wintermute,0.00169660,Limit,0,0,0.00169660,100.08,0,58989.20000000,Online,BTC-USD,Sell,BTC,USD,58989.20000000,2,Filled,1.0,wintermute/wintermute-trading-rfq
50,885071aa-b874-4258-8c81-b7298dc94a6c,2024-08-14T17:10:52.374011Z,wintermute,0.01690500,Limit,0,0,0.01690500,999.947000,0,59150.93000000,Online,BTC-USDT,Buy,BTC,USDT,59150.93000000,1,Filled,0.0,wintermute/wintermute-trading-rfq
51,885071aa-b874-4258-8c81-b7298dc94a6c,2024-08-14T17:10:52.374011Z,galaxy,0,Limit,0,0,0,0,0,0,Online,BTC-USD,Sell,BTC,USD,0,2,Canceled,1.0,galaxy/galaxy-trading-rfq-a-1
52,885071aa-b874-4258-8c81-b7298dc94a6c,2024-08-14T17:10:52.374011Z,wintermute,0.01690500,Limit,0,0,0.01690500,999.99,0,59154.05000000,Online,BTC-USD,Sell,BTC,USD,59154.05000000,2,Filled,1.0,wintermute/wintermute-trading-rfq
